Month,Year,LA_Births
1992-01-01,1992,6996
1992-02-01,1992,6681
1992-03-01,1992,7642
1992-04-01,1992,7347
1992-05-01,1992,7706
1992-06-01,1992,7687
1992-07-01,1992,7708
1992-08-01,1992,7322
1992-09-01,1992,7315
1992-10-01,1992,7180
1992-11-01,1992,6740
1992-12-01,1992,6907
1992-01-01,1992,6996
1992-02-01,1992,6681
1992-03-01,1992,7642
1992-04-01,1992,7347
1992-05-01,1992,7706
1992-06-01,1992,7687
1992-07-01,1992,7708
1992-08-01,1992,7322
1992-09-01,1992,7315
1992-10-01,1992,7180
1992-11-01,1992,6740
1992-12-01,1992,6907
1992-01-01,1992,6996
1992-02-01,1992,6681
1992-03-01,1992,7642
1992-04-01,1992,7347
1992-05-01,1992,7706
1992-06-01,1992,7687
1992-07-01,1992,7708
1992-08-01,1992,7322
1992-09-01,1992,7315
1992-10-01,1992,7180
1992-11-01,1992,6740
1992-12-01,1992,6907
1992-01-01,1992,6996
1992-02-01,1992,6681
1992-03-01,1992,7642
1992-04-01,1992,7347
1992-05-01,1992,7706
1992-06-01,1992,7687
1992-07-01,1992,7708
1992-08-01,1992,7322
1992-09-01,1992,7315
1992-10-01,1992,7180
1992-11-01,1992,6740
1992-12-01,1992,6907
1992-01-01,1992,6996
1992-02-01,1992,6681
1992-03-01,1992,7642
1992-04-01,1992,7347
1992-05-01,1992,7706
1992-06-01,1992,7687
1992-07-01,1992,7708
1992-08-01,1992,7322
1992-09-01,1992,7315
1992-10-01,1992,7180
1992-11-01,1992,6740
1992-12-01,1992,6907
1992-01-01,1992,6996
1992-02-01,1992,6681
1992-03-01,1992,7642
1992-04-01,1992,7347
1992-05-01,1992,7706
1992-06-01,1992,7687
1992-07-01,1992,7708
1992-08-01,1992,7322
1992-09-01,1992,7315
1992-10-01,1992,7180
1992-11-01,1992,6740
1992-12-01,1992,6907
1992-01-01,1992,6996
1992-02-01,1992,6681
1992-03-01,1992,7642
1992-04-01,1992,7347
1992-05-01,1992,7706
1992-06-01,1992,7687
1992-07-01,1992,7708
1992-08-01,1992,7322
1992-09-01,1992,7315
1992-10-01,1992,7180
1992-11-01,1992,6740
1992-12-01,1992,6907
1992-01-01,1992,6996
1992-02-01,1992,6681
1992-03-01,1992,7642
1992-04-01,1992,7347
1992-05-01,1992,7706
1992-06-01,1992,7687
1992-07-01,1992,7708
1992-08-01,1992,7322
1992-09-01,1992,7315
1992-10-01,1992,7180
1992-11-01,1992,6740
1992-12-01,1992,6907
1992-01-01,1992,6996
1992-02-01,1992,6681
1992-03-01,1992,7642
1992-04-01,1992,7347
1992-05-01,1992,7706
1992-06-01,1992,7687
1992-07-01,1992,7708
1992-08-01,1992,7322
1992-09-01,1992,7315
1992-10-01,1992,7180
1992-11-01,1992,6740
1992-12-01,1992,6907
1992-01-01,1992,6996
1992-02-01,1992,6681
1992-03-01,1992,7642
1992-04-01,1992,7347
1992-05-01,1992,7706
1992-06-01,1992,7687
1992-07-01,1992,7708
1992-08-01,1992,7322
1992-09-01,1992,7315
1992-10-01,1992,7180
1992-11-01,1992,6740
1992-12-01,1992,6907
1992-01-01,1992,6996
1992-02-01,1992,6681
1992-03-01,1992,7642
1992-04-01,1992,7347
1992-05-01,1992,7706
1992-06-01,1992,7687
1992-07-01,1992,7708
1992-08-01,1992,7322
1992-09-01,1992,7315
1992-10-01,1992,7180
1992-11-01,1992,6740
1992-12-01,1992,6907
