,Monthly Nominal GDP Index,Monthly Real GDP Index,,
1992 - Jan,6315.718,10177.808,,
1992 - Feb,6356.508,10222.919,,
1992 - Mar,6417.080,10307.964,,
1992 - Apr,6443.260,10314.310,,
1992 - May,6433.800,10293.473,,
1992 - Jun,6535.229,10433.829,,
1992 - Jul,6557.307,10451.327,,
1992 - Aug,6556.893,10431.177,,
1992 - Sep,6585.723,10465.874,,
1992 - Oct,6637.251,10525.000,,
1992 - Nov,6680.230,10555.456,,
1992 - Dec,6724.928,10594.715,,
1993 - Jan,6718.517,10578.491,,
1993 - Feb,6741.424,10594.478,,
1993 - Mar,6728.436,10555.041,,
1993 - Apr,6767.885,10596.252,,
1993 - May,6824.294,10659.354,,
1993 - Jun,6834.639,10657.069,,
1993 - Jul,6832.663,10631.603,,
1993 - Aug,6874.167,10675.028,,
1993 - Sep,6939.465,10758.304,,
1993 - Oct,6944.544,10753.394,,
1993 - Nov,7035.933,10860.531,,
1993 - Dec,7060.737,10887.189,,
1994 - Jan,7074.376,10886.226,,
1994 - Feb,7122.912,10947.639,,
1994 - Mar,7149.668,10982.642,,
1994 - Apr,7186.468,11019.152,,
1994 - May,7290.063,11127.609,,
1994 - Jun,7264.262,11114.421,,
1994 - Jul,7299.351,11118.524,,
1994 - Aug,7351.561,11193.607,,
1994 - Sep,7342.313,11143.678,,
1994 - Oct,7429.158,11246.967,,
1994 - Nov,7431.638,11239.420,,
1994 - Dec,7505.068,11353.014,,
1995 - Jan,7542.278,11356.542,,
1995 - Feb,7488.455,11272.217,,
1995 - Mar,7536.134,11331.011,,
1995 - Apr,7539.266,11297.405,,
1995 - May,7560.682,11327.565,,
1995 - Jun,7643.043,11436.584,,
1995 - Jul,7630.432,11379.881,,
1995 - Aug,7674.169,11441.698,,
1995 - Sep,7744.774,11529.883,,
1995 - Oct,7747.188,11480.592,,
1995 - Nov,7747.777,11499.132,,
1995 - Dec,7822.793,11605.556,,
1996 - Jan,7839.889,11583.787,,
1996 - Feb,7853.005,11600.079,,
1996 - Mar,7912.510,11661.268,,
1996 - Apr,8025.242,11818.637,,
1996 - May,8009.311,11777.136,,
1996 - Jun,8063.967,11830.545,,
1996 - Jul,8099.374,11876.275,,
1996 - Aug,8123.031,11909.594,,
1996 - Sep,8171.820,11957.733,,
1996 - Oct,8250.675,12038.951,,
1996 - Nov,8281.815,12061.709,,
1996 - Dec,8246.823,12013.992,,
1997 - Jan,8308.873,12085.304,,
1997 - Feb,8385.604,12170.657,,
1997 - Mar,8393.487,12091.729,,
1997 - Apr,8511.350,12359.840,,
1997 - May,8476.525,12240.832,,
1997 - Jun,8568.601,12352.241,,
1997 - Jul,8620.360,12449.681,,
1997 - Aug,8655.677,12482.028,,
1997 - Sep,8712.432,12482.596,,
1997 - Oct,8748.293,12563.104,,
1997 - Nov,8736.397,12535.863,,
1997 - Dec,8813.031,12634.746,,
1998 - Jan,8772.683,12571.161,,
1998 - Feb,8894.562,12753.697,,
1998 - Mar,8932.195,12787.505,,
1998 - Apr,8925.485,12761.560,,
1998 - May,8953.153,12795.018,,
1998 - Jun,9030.459,12908.334,,
1998 - Jul,9049.668,12879.558,,
1998 - Aug,9100.806,12947.892,,
1998 - Sep,9212.816,13121.466,,
1998 - Oct,9266.812,13165.882,,
1998 - Nov,9307.052,13218.802,,
1998 - Dec,9308.109,13190.955,,
1999 - Jan,9357.805,13223.696,,
1999 - Feb,9410.995,13327.555,,
1999 - Mar,9466.246,13396.194,,
1999 - Apr,9496.050,13396.383,,
1999 - May,9536.808,13442.849,,
1999 - Jun,9545.772,13441.748,,
1999 - Jul,9659.091,13562.380,,
1999 - Aug,9660.704,13601.751,,
1999 - Sep,9740.083,13650.860,,
1999 - Oct,9819.718,13720.485,,
1999 - Nov,9890.746,13811.967,,
1999 - Dec,9990.043,13951.839,,
2000 - Jan,9924.271,13812.356,,
2000 - Feb,9995.326,13871.503,,
2000 - Mar,10086.940,13951.056,,
2000 - Apr,10224.812,14133.179,,
2000 - May,10232.053,14113.444,,
2000 - Jun,10286.295,14146.450,,
2000 - Jul,10234.189,14056.702,,
2000 - Aug,10336.074,14171.449,,
2000 - Sep,10384.232,14208.020,,
2000 - Oct,10435.244,14247.139,,
2000 - Nov,10445.448,14232.528,,
2000 - Dec,10426.540,14210.552,,
2001 - Jan,10467.689,14214.496,,
2001 - Feb,10462.995,14185.267,,
2001 - Mar,10480.009,14151.025,,
2001 - Apr,10565.350,14259.754,,
2001 - May,10639.985,14328.003,,
2001 - Jun,10591.666,14228.875,,
2001 - Jul,10585.078,14183.219,,
2001 - Aug,10699.269,14347.258,,
2001 - Sep,10509.714,14114.504,,
2001 - Oct,10639.810,14235.187,,
2001 - Nov,10587.653,14159.353,,
2001 - Dec,10753.932,14367.946,,
2002 - Jan,10786.862,14408.640,,
2002 - Feb,10748.914,14322.707,,
2002 - Mar,10814.724,14388.840,,
2002 - Apr,10858.450,14444.878,,
2002 - May,10870.043,14442.497,,
2002 - Jun,10933.887,14496.974,,
2002 - Jul,11001.831,14575.244,,
2002 - Aug,10952.337,14491.448,,
2002 - Sep,10997.952,14493.767,,
2002 - Oct,10999.072,14481.084,,
2002 - Nov,11053.243,14523.644,,
2002 - Dec,11131.984,14609.334,,
2003 - Jan,11135.827,14595.876,,
2003 - Feb,11210.366,14652.408,,
2003 - Mar,11176.194,14595.673,,
2003 - Apr,11256.987,14673.523,,
2003 - May,11275.207,14690.089,,
2003 - Jun,11406.103,14869.001,,
2003 - Jul,11468.596,14910.220,,
2003 - Aug,11567.500,14985.294,,
2003 - Sep,11663.911,15072.817,,
2003 - Oct,11699.770,15093.027,,
2003 - Nov,11786.116,15181.942,,
2003 - Dec,11830.817,15215.240,,
2004 - Jan,11805.938,15134.365,,
2004 - Feb,11926.510,15258.471,,
2004 - Mar,12037.893,15355.141,,
2004 - Apr,12036.119,15311.352,,
2004 - May,12175.735,15446.431,,
2004 - Jun,12126.591,15344.786,,
2004 - Jul,12279.383,15482.646,,
2004 - Aug,12300.525,15520.982,,
2004 - Sep,12336.013,15536.281,,
2004 - Oct,12471.397,15653.431,,
2004 - Nov,12514.854,15649.558,,
2004 - Dec,12595.391,15711.708,,
2005 - Jan,12747.950,15854.693,,
2005 - Feb,12751.102,15826.076,,
2005 - Mar,12802.805,15855.512,,
2005 - Apr,12859.289,15896.684,,
2005 - May,12881.910,15863.331,,
2005 - Jun,13026.769,16010.338,,
2005 - Jul,13096.068,16037.217,,
2005 - Aug,13153.224,16078.089,,
2005 - Sep,13178.634,16029.507,,
2005 - Oct,13235.119,16064.157,,
2005 - Nov,13300.274,16112.885,,
2005 - Dec,13437.219,16235.172,,
2006 - Jan,13517.442,16315.467,,
2006 - Feb,13569.273,16307.716,,
2006 - Mar,13710.765,16440.284,,
2006 - Apr,13694.960,16369.966,,
2006 - May,13782.615,16416.926,,
2006 - Jun,13782.697,16403.638,,
2006 - Jul,13791.160,16365.768,,
2006 - Aug,13885.301,16421.562,,
2006 - Sep,13934.103,16477.069,,
2006 - Oct,13967.051,16489.366,,
2006 - Nov,14059.551,16600.848,,
2006 - Dec,14092.078,16597.591,,
2007 - Jan,14134.068,16578.470,,
2007 - Feb,14286.518,16680.770,,
2007 - Mar,14226.367,16577.915,,
2007 - Apr,14362.629,16711.327,,
2007 - May,14401.012,16701.737,,
2007 - Jun,14442.605,16728.745,,
2007 - Jul,14422.446,16669.367,,
2007 - Aug,14601.565,16867.799,,
2007 - Sep,14668.341,16893.387,,
2007 - Oct,14663.958,16878.239,,
2007 - Nov,14715.623,16898.618,,
2007 - Dec,14765.593,16970.456,,
2008 - Jan,14801.299,16990.515,,
2008 - Feb,14627.522,16753.932,,
2008 - Mar,14690.793,16786.521,,
2008 - Apr,14757.412,16846.195,,
2008 - May,14802.357,16891.097,,
2008 - Jun,15037.334,17094.032,,
2008 - Jul,14972.328,16971.781,,
2008 - Aug,14917.182,16891.626,,
2008 - Sep,14807.488,16701.057,,
2008 - Oct,14694.566,16566.776,,
2008 - Nov,14700.089,16587.092,,
2008 - Dec,14429.972,16303.371,,
2009 - Jan,14481.051,16350.238,,
2009 - Feb,14442.867,16289.993,,
2009 - Mar,14368.788,16255.399,,
2009 - Apr,14360.308,16253.970,,
2009 - May,14377.739,16278.611,,
2009 - Jun,14405.661,16275.541,,
2009 - Jul,14376.254,16261.711,,
2009 - Aug,14480.496,16349.085,,
2009 - Sep,14489.896,16368.856,,
2009 - Oct,14693.455,16570.259,,
2009 - Nov,14665.263,16512.613,,
2009 - Dec,14595.029,16426.198,,
2010 - Jan,14707.265,16526.062,,
2010 - Feb,14735.244,16560.968,,
2010 - Mar,14851.322,16661.617,,
2010 - Apr,14946.062,16725.255,,
2010 - May,14956.503,16714.287,,
2010 - Jun,15038.014,16790.672,,
2010 - Jul,15111.839,16866.318,,
2010 - Aug,15108.564,16835.080,,
2010 - Sep,15204.419,16916.029,,
2010 - Oct,15287.423,16965.411,,
2010 - Nov,15264.358,16904.012,,
2010 - Dec,15376.641,17013.823,,
2011 - Jan,15257.725,16865.343,,
2011 - Feb,15282.896,16841.056,,
2011 - Mar,15513.723,17056.055,,
2011 - Apr,15584.444,17097.448,,
2011 - May,15567.134,17037.902,,
2011 - Jun,15521.039,16970.700,,
