State,Month,Year,stateBirths,StateName
1,1,1992,5193,Alabama
1,2,1992,4792,Alabama
1,3,1992,5075,Alabama
1,4,1992,4886,Alabama
1,5,1992,5037,Alabama
1,6,1992,5063,Alabama
1,7,1992,5491,Alabama
1,8,1992,5343,Alabama
1,9,1992,5517,Alabama
1,10,1992,5427,Alabama
1,11,1992,5047,Alabama
1,12,1992,5389,Alabama
2,1,1992,974,Alaska
2,2,1992,937,Alaska
2,3,1992,1015,Alaska
2,4,1992,971,Alaska
2,5,1992,1044,Alaska
2,6,1992,933,Alaska
2,7,1992,1058,Alaska
2,8,1992,1005,Alaska
2,9,1992,1000,Alaska
2,10,1992,972,Alaska
2,11,1992,870,Alaska
2,12,1992,947,Alaska
3,1,1992,5686,
3,2,1992,5384,
3,3,1992,5774,
3,4,1992,5663,
3,5,1992,5563,
3,6,1992,5488,
3,7,1992,5955,
3,8,1992,5994,
3,9,1992,6050,
3,10,1992,5875,
3,11,1992,5496,
3,12,1992,5901,
4,1,1992,2903,Arizona
4,2,1992,2581,Arizona
4,3,1992,2810,Arizona
4,4,1992,2784,Arizona
4,5,1992,2825,Arizona
4,6,1992,2867,Arizona
4,7,1992,3148,Arizona
4,8,1992,3035,Arizona
4,9,1992,3041,Arizona
4,10,1992,2928,Arizona
4,11,1992,2876,Arizona
4,12,1992,3022,Arizona
5,1,1992,49829,Arkansas
5,2,1992,47618,Arkansas
5,3,1992,51127,Arkansas
5,4,1992,49566,Arkansas
5,5,1992,50396,Arkansas
5,6,1992,49208,Arkansas
5,7,1992,51471,Arkansas
5,8,1992,51654,Arkansas
5,9,1992,51979,Arkansas
5,10,1992,51218,Arkansas
5,11,1992,48083,Arkansas
5,12,1992,49581,Arkansas
6,1,1992,4385,California
6,2,1992,4181,California
6,3,1992,4602,California
6,4,1992,4855,California
6,5,1992,4864,California
6,6,1992,4721,California
6,7,1992,4818,California
6,8,1992,4534,California
6,9,1992,4465,California
6,10,1992,4529,California
6,11,1992,4180,California
6,12,1992,4401,California
7,1,1992,3871,
7,2,1992,3733,
7,3,1992,4052,
7,4,1992,4038,
7,5,1992,4230,
7,6,1992,4051,
7,7,1992,4233,
7,8,1992,4064,
7,9,1992,3947,
7,10,1992,3880,
7,11,1992,3681,
7,12,1992,3793,
8,1,1992,874,Colorado
8,2,1992,842,Colorado
8,3,1992,829,Colorado
8,4,1992,882,Colorado
8,5,1992,910,Colorado
8,6,1992,927,Colorado
8,7,1992,908,Colorado
8,8,1992,962,Colorado
8,9,1992,918,Colorado
8,10,1992,901,Colorado
8,11,1992,812,Colorado
8,12,1992,891,Colorado
9,1,1992,968,Connecticut
