Date,Year,Births,State
1992-01-01,1992,6996,Louisiana
1992-02-01,1992,6681,Louisiana
1992-03-01,1992,7642,Louisiana
1992-04-01,1992,7347,Louisiana
1992-05-01,1992,7706,Louisiana
1992-06-01,1992,7687,Louisiana
1992-07-01,1992,7708,Louisiana
1992-08-01,1992,7322,Louisiana
1992-09-01,1992,7315,Louisiana
1992-10-01,1992,7180,Louisiana
1992-11-01,1992,6740,Louisiana
1992-12-01,1992,6907,Louisiana
1993-01-01,1993,6774,Louisiana
1993-02-01,1993,6418,Louisiana
1993-03-01,1993,7392,Louisiana
1993-04-01,1993,7163,Louisiana
1993-05-01,1993,7504,Louisiana
1993-06-01,1993,7373,Louisiana
1993-07-01,1993,7421,Louisiana
1993-08-01,1993,7397,Louisiana
1993-09-01,1993,7250,Louisiana
1993-10-01,1993,6939,Louisiana
1993-11-01,1993,6417,Louisiana
1993-12-01,1993,6620,Louisiana
1994-01-01,1994,6609,Louisiana
1994-02-01,1994,6329,Louisiana
1994-03-01,1994,7151,Louisiana
1994-04-01,1994,7042,Louisiana
1994-05-01,1994,7375,Louisiana
1994-06-01,1994,7232,Louisiana
1994-07-01,1994,7621,Louisiana
1994-08-01,1994,7395,Louisiana
1994-09-01,1994,6987,Louisiana
1994-10-01,1994,7071,Louisiana
1994-11-01,1994,6334,Louisiana
1994-12-01,1994,6641,Louisiana
1995-01-01,1995,6564,Louisiana
1995-02-01,1995,6031,Louisiana
1995-03-01,1995,6939,Louisiana
1995-04-01,1995,6586,Louisiana
1995-05-01,1995,7261,Louisiana
1995-06-01,1995,7304,Louisiana
1995-07-01,1995,7404,Louisiana
1995-08-01,1995,7269,Louisiana
1995-09-01,1995,7075,Louisiana
1995-10-01,1995,6645,Louisiana
1995-11-01,1995,6367,Louisiana
1995-12-01,1995,6203,Louisiana
1996-01-01,1996,6268,Louisiana
1996-02-01,1996,6112,Louisiana
1996-03-01,1996,6531,Louisiana
1996-04-01,1996,6706,Louisiana
1996-05-01,1996,7104,Louisiana
1996-06-01,1996,6895,Louisiana
1996-07-01,1996,7148,Louisiana
1996-08-01,1996,7026,Louisiana
1996-09-01,1996,6791,Louisiana
1996-10-01,1996,6930,Louisiana
1996-11-01,1996,6232,Louisiana
1996-12-01,1996,6533,Louisiana
1997-01-01,1997,6355,Louisiana
1997-02-01,1997,5928,Louisiana
1997-03-01,1997,6686,Louisiana
1997-04-01,1997,6717,Louisiana
1997-05-01,1997,7075,Louisiana
1997-06-01,1997,6906,Louisiana
1997-07-01,1997,7272,Louisiana
1997-08-01,1997,7063,Louisiana
1997-09-01,1997,6921,Louisiana
1997-10-01,1997,6773,Louisiana
1997-11-01,1997,6215,Louisiana
1997-12-01,1997,6453,Louisiana
1998-01-01,1998,6504,Louisiana
1998-02-01,1998,6121,Louisiana
1998-03-01,1998,6947,Louisiana
1998-04-01,1998,6835,Louisiana
1998-05-01,1998,7273,Louisiana
1998-06-01,1998,6929,Louisiana
1998-07-01,1998,7315,Louisiana
1998-08-01,1998,7052,Louisiana
1998-09-01,1998,7012,Louisiana
1998-10-01,1998,6755,Louisiana
1998-11-01,1998,6159,Louisiana
1998-12-01,1998,6509,Louisiana
1999-01-01,1999,6353,Louisiana
1999-02-01,1999,6003,Louisiana
1999-03-01,1999,6750,Louisiana
1999-04-01,1999,6663,Louisiana
1999-05-01,1999,7179,Louisiana
1999-06-01,1999,7047,Louisiana
1999-07-01,1999,7283,Louisiana
1999-08-01,1999,7181,Louisiana
1999-09-01,1999,6966,Louisiana
1999-10-01,1999,6633,Louisiana
1999-11-01,1999,6273,Louisiana
1999-12-01,1999,6608,Louisiana
2000-01-01,2000,6576,Louisiana
2000-02-01,2000,6301,Louisiana
2000-03-01,2000,6843,Louisiana
2000-04-01,2000,6690,Louisiana
2000-05-01,2000,7205,Louisiana
2000-06-01,2000,7042,Louisiana
2000-07-01,2000,7069,Louisiana
2000-08-01,2000,7169,Louisiana
2000-09-01,2000,6779,Louisiana
2000-10-01,2000,6856,Louisiana
2000-11-01,2000,6467,Louisiana
2000-12-01,2000,6617,Louisiana
2001-01-01,2001,6511,Louisiana
2001-02-01,2001,6071,Louisiana
2001-03-01,2001,6909,Louisiana
2001-04-01,2001,6638,Louisiana
2001-05-01,2001,7279,Louisiana
2001-06-01,2001,7074,Louisiana
2001-07-01,2001,7140,Louisiana
2001-08-01,2001,7311,Louisiana
2001-09-01,2001,6796,Louisiana
2001-10-01,2001,6785,Louisiana
2001-11-01,2001,6395,Louisiana
2001-12-01,2001,6168,Louisiana
2002-01-01,2002,6394,Louisiana
2002-02-01,2002,6028,Louisiana
2002-03-01,2002,6737,Louisiana
2002-04-01,2002,6731,Louisiana
2002-05-01,2002,7161,Louisiana
2002-06-01,2002,6955,Louisiana
2002-07-01,2002,7230,Louisiana
2002-08-01,2002,7254,Louisiana
2002-09-01,2002,6988,Louisiana
2002-10-01,2002,6774,Louisiana
2002-11-01,2002,6052,Louisiana
2002-12-01,2002,6341,Louisiana
2003-01-01,2003,5407,Louisiana
2003-02-01,2003,4850,Louisiana
2003-03-01,2003,4975,Louisiana
2003-04-01,2003,5099,Louisiana
2003-05-01,2003,5236,Louisiana
2003-06-01,2003,5072,Louisiana
2003-07-01,2003,5747,Louisiana
2003-08-01,2003,5852,Louisiana
2003-09-01,2003,5931,Louisiana
2003-10-01,2003,5729,Louisiana
2003-11-01,2003,5295,Louisiana
2003-12-01,2003,5847,Louisiana
2004-01-01,2004,5477,Louisiana
2004-02-01,2004,4831,Louisiana
2004-03-01,2004,5381,Louisiana
2004-04-01,2004,5150,Louisiana
2004-05-01,2004,4913,Louisiana
2004-06-01,2004,5452,Louisiana
2004-07-01,2004,5631,Louisiana
2004-08-01,2004,5653,Louisiana
2004-09-01,2004,5898,Louisiana
2004-10-01,2004,5701,Louisiana
2004-11-01,2004,5536,Louisiana
2004-12-01,2004,5746,Louisiana
2005-01-01,2005,5361,Louisiana
2005-02-01,2005,4866,Louisiana
2005-03-01,2005,5385,Louisiana
2005-04-01,2005,4892,Louisiana
2005-05-01,2005,5200,Louisiana
2005-06-01,2005,5399,Louisiana
2005-07-01,2005,5109,Louisiana
2005-08-01,2005,5242,Louisiana
2005-09-01,2005,5186,Louisiana
2005-10-01,2005,4766,Louisiana
2005-11-01,2005,4680,Louisiana
2005-12-01,2005,4851,Louisiana
2006-01-01,2006,4936,Louisiana
2006-02-01,2006,4442,Louisiana
2006-03-01,2006,5039,Louisiana
2006-04-01,2006,4456,Louisiana
2006-05-01,2006,4821,Louisiana
2006-06-01,2006,5128,Louisiana
2006-07-01,2006,5496,Louisiana
2006-08-01,2006,6125,Louisiana
2006-09-01,2006,5878,Louisiana
2006-10-01,2006,5769,Louisiana
2006-11-01,2006,5664,Louisiana
2006-12-01,2006,5622,Louisiana
2007-01-01,2007,5632,Louisiana
2007-02-01,2007,5008,Louisiana
2007-03-01,2007,5399,Louisiana
2007-04-01,2007,4957,Louisiana
2007-05-01,2007,5228,Louisiana
2007-06-01,2007,5301,Louisiana
2007-07-01,2007,5707,Louisiana
2007-08-01,2007,6147,Louisiana
2007-09-01,2007,5725,Louisiana
2007-10-01,2007,5812,Louisiana
2007-11-01,2007,5703,Louisiana
2007-12-01,2007,5682,Louisiana
2008-01-01,2008,5810,Louisiana
2008-02-01,2008,5077,Louisiana
2008-03-01,2008,5269,Louisiana
2008-04-01,2008,5115,Louisiana
2008-05-01,2008,4993,Louisiana
2008-06-01,2008,5051,Louisiana
2008-07-01,2008,5863,Louisiana
2008-08-01,2008,5683,Louisiana
2008-09-01,2008,5828,Louisiana
2008-10-01,2008,5580,Louisiana
2008-11-01,2008,5173,Louisiana
2008-12-01,2008,5826,Louisiana
2009-01-01,2009,5437,Louisiana
2009-02-01,2009,4840,Louisiana
2009-03-01,2009,5213,Louisiana
2009-04-01,2009,5062,Louisiana
2009-05-01,2009,4995,Louisiana
2009-06-01,2009,5405,Louisiana
2009-07-01,2009,5795,Louisiana
2009-08-01,2009,5813,Louisiana
2009-09-01,2009,5918,Louisiana
2009-10-01,2009,5576,Louisiana
2009-11-01,2009,5236,Louisiana
2009-12-01,2009,5683,Louisiana
2010-01-01,2010,5046,Louisiana
2010-02-01,2010,4655,Louisiana
2010-03-01,2010,5193,Louisiana
2010-04-01,2010,4711,Louisiana
2010-05-01,2010,4745,Louisiana
2010-06-01,2010,5120,Louisiana
2010-07-01,2010,5358,Louisiana
2010-08-01,2010,5540,Louisiana
2010-09-01,2010,5706,Louisiana
2010-10-01,2010,5352,Louisiana
2010-11-01,2010,5303,Louisiana
2010-12-01,2010,5650,Louisiana
2011-01-01,2011,5030,Louisiana
2011-02-01,2011,4726,Louisiana
2011-03-01,2011,5044,Louisiana
2011-04-01,2011,4641,Louisiana
2011-05-01,2011,4878,Louisiana
2011-06-01,2011,5058,Louisiana
2011-07-01,2011,5381,Louisiana
2011-08-01,2011,5774,Louisiana
2011-09-01,2011,5517,Louisiana
2011-10-01,2011,5291,Louisiana
2011-11-01,2011,5271,Louisiana
2011-12-01,2011,5277,Louisiana
2012-01-01,2012,5128,Louisiana
2012-02-01,2012,4970,Louisiana
2012-03-01,2012,5034,Louisiana
2012-04-01,2012,4634,Louisiana
2012-05-01,2012,4993,Louisiana
2012-06-01,2012,5002,Louisiana
2012-07-01,2012,5596,Louisiana
2012-08-01,2012,5719,Louisiana
2012-09-01,2012,5505,Louisiana
2012-10-01,2012,5572,Louisiana
2012-11-01,2012,5172,Louisiana
2012-12-01,2012,5317,Louisiana
2013-01-01,2013,5326,Louisiana
2013-02-01,2013,4615,Louisiana
2013-03-01,2013,4885,Louisiana
2013-04-01,2013,4826,Louisiana
2013-05-01,2013,5074,Louisiana
2013-06-01,2013,4903,Louisiana
2013-07-01,2013,5620,Louisiana
2013-08-01,2013,5653,Louisiana
2013-09-01,2013,5604,Louisiana
2013-10-01,2013,5583,Louisiana
2013-11-01,2013,5240,Louisiana
2013-12-01,2013,5872,Louisiana
2014-01-01,2014,5459,Louisiana
2014-02-01,2014,4883,Louisiana
2014-03-01,2014,5130,Louisiana
2014-04-01,2014,5054,Louisiana
2014-05-01,2014,5086,Louisiana
2014-06-01,2014,5022,Louisiana
2014-07-01,2014,5609,Louisiana
2014-08-01,2014,5548,Louisiana
2014-09-01,2014,5743,Louisiana
2014-10-01,2014,5722,Louisiana
2014-11-01,2014,5277,Louisiana
2014-12-01,2014,5964,Louisiana
2015-01-01,2015,5389,Louisiana
2015-02-01,2015,4818,Louisiana
2015-03-01,2015,5211,Louisiana
2015-04-01,2015,4960,Louisiana
2015-05-01,2015,5018,Louisiana
2015-06-01,2015,5133,Louisiana
2015-07-01,2015,5727,Louisiana
2015-08-01,2015,5853,Louisiana
2015-09-01,2015,5881,Louisiana
2015-10-01,2015,5751,Louisiana
2015-11-01,2015,5344,Louisiana
2015-12-01,2015,5607,Louisiana
