Date,Year,Births,State
1990-01-01,1990,1041,Connecticut
1990-02-01,1990,947,Connecticut
1990-03-01,1990,941,Connecticut
1990-04-01,1990,858,Connecticut
1990-05-01,1990,945,Connecticut
1990-06-01,1990,990,Connecticut
1990-07-01,1990,1093,Connecticut
1990-08-01,1990,1014,Connecticut
1990-09-01,1990,997,Connecticut
1990-10-01,1990,990,Connecticut
1990-11-01,1990,980,Connecticut
1990-12-01,1990,1054,Connecticut
1990-01-01,1990,8382,New Jersey
1990-02-01,1990,7849,New Jersey
1990-03-01,1990,8557,New Jersey
1990-04-01,1990,8302,New Jersey
1990-05-01,1990,8836,New Jersey
1990-06-01,1990,8612,New Jersey
1990-07-01,1990,9364,New Jersey
1990-08-01,1990,9582,New Jersey
1990-09-01,1990,9323,New Jersey
1990-10-01,1990,8919,New Jersey
1990-11-01,1990,8334,New Jersey
1990-12-01,1990,8465,New Jersey
1990-01-01,1990,13514,New York
1990-02-01,1990,12473,New York
1990-03-01,1990,14240,New York
1990-04-01,1990,13554,New York
1990-05-01,1990,14092,New York
1990-06-01,1990,14458,New York
1990-07-01,1990,14967,New York
1990-08-01,1990,15029,New York
1990-09-01,1990,14453,New York
1990-10-01,1990,13678,New York
1990-11-01,1990,12970,New York
1990-12-01,1990,13485,New York
1991-01-01,1991,1012,Connecticut
1991-02-01,1991,918,Connecticut
1991-03-01,1991,995,Connecticut
1991-04-01,1991,910,Connecticut
1991-05-01,1991,997,Connecticut
1991-06-01,1991,914,Connecticut
1991-07-01,1991,1078,Connecticut
1991-08-01,1991,1005,Connecticut
1991-09-01,1991,1003,Connecticut
1991-10-01,1991,1035,Connecticut
1991-11-01,1991,932,Connecticut
1991-12-01,1991,977,Connecticut
1991-01-01,1991,8603,New Jersey
1991-02-01,1991,7770,New Jersey
1991-03-01,1991,8642,New Jersey
1991-04-01,1991,8197,New Jersey
1991-05-01,1991,8665,New Jersey
1991-06-01,1991,8204,New Jersey
1991-07-01,1991,8858,New Jersey
1991-08-01,1991,9197,New Jersey
1991-09-01,1991,8777,New Jersey
1991-10-01,1991,8554,New Jersey
1991-11-01,1991,8038,New Jersey
1991-12-01,1991,8857,New Jersey
1991-01-01,1991,13199,New York
1991-02-01,1991,12659,New York
1991-03-01,1991,14322,New York
1991-04-01,1991,13775,New York
1991-05-01,1991,14582,New York
1991-06-01,1991,13582,New York
1991-07-01,1991,14790,New York
1991-08-01,1991,14766,New York
1991-09-01,1991,14031,New York
1991-10-01,1991,13792,New York
1991-11-01,1991,12789,New York
1991-12-01,1991,13508,New York
1992-01-01,1992,968,Connecticut
1992-02-01,1992,901,Connecticut
1992-03-01,1992,902,Connecticut
1992-04-01,1992,861,Connecticut
1992-05-01,1992,931,Connecticut
1992-06-01,1992,961,Connecticut
1992-07-01,1992,949,Connecticut
1992-08-01,1992,895,Connecticut
1992-09-01,1992,909,Connecticut
1992-10-01,1992,890,Connecticut
1992-11-01,1992,854,Connecticut
1992-12-01,1992,939,Connecticut
1992-01-01,1992,8884,New Jersey
1992-02-01,1992,8149,New Jersey
1992-03-01,1992,8513,New Jersey
1992-04-01,1992,8326,New Jersey
1992-05-01,1992,8567,New Jersey
1992-06-01,1992,8736,New Jersey
1992-07-01,1992,9081,New Jersey
1992-08-01,1992,8877,New Jersey
1992-09-01,1992,8772,New Jersey
1992-10-01,1992,8811,New Jersey
1992-11-01,1992,8410,New Jersey
1992-12-01,1992,8841,New Jersey
1992-01-01,1992,13184,New York
1992-02-01,1992,12733,New York
1992-03-01,1992,13741,New York
1992-04-01,1992,13331,New York
1992-05-01,1992,13834,New York
