Date,Year,Births,State
1985-01-01,1985,5027,Alabama
1985-02-01,1985,4627,Alabama
1985-03-01,1985,4738,Alabama
1985-04-01,1985,4626,Alabama
1985-05-01,1985,4834,Alabama
1985-06-01,1985,4755,Alabama
1985-07-01,1985,5255,Alabama
1985-08-01,1985,5364,Alabama
1985-09-01,1985,5356,Alabama
1985-10-01,1985,5144,Alabama
1985-11-01,1985,4883,Alabama
1985-12-01,1985,5127,Alabama
1985-01-01,1985,1020,Alaska
1985-02-01,1985,1021,Alaska
1985-03-01,1985,1047,Alaska
1985-04-01,1985,1089,Alaska
1985-05-01,1985,1148,Alaska
1985-06-01,1985,1070,Alaska
1985-07-01,1985,1129,Alaska
1985-08-01,1985,1118,Alaska
1985-09-01,1985,1118,Alaska
1985-10-01,1985,1061,Alaska
1985-11-01,1985,989,Alaska
1985-12-01,1985,1034,Alaska
1985-01-01,1985,2929,Arizona
1985-02-01,1985,2741,Arizona
1985-03-01,1985,2927,Arizona
1985-04-01,1985,2736,Arizona
1985-05-01,1985,2843,Arizona
1985-06-01,1985,2870,Arizona
1985-07-01,1985,3037,Arizona
1985-08-01,1985,3261,Arizona
1985-09-01,1985,3069,Arizona
1985-10-01,1985,3048,Arizona
1985-11-01,1985,2869,Arizona
1985-12-01,1985,2891,Arizona
1985-01-01,1985,38069,Arkansas
1985-02-01,1985,34169,Arkansas
1985-03-01,1985,38103,Arkansas
1985-04-01,1985,36800,Arkansas
1985-05-01,1985,39101,Arkansas
1985-06-01,1985,37592,Arkansas
1985-07-01,1985,41561,Arkansas
1985-08-01,1985,43298,Arkansas
1985-09-01,1985,42257,Arkansas
1985-10-01,1985,41764,Arkansas
1985-11-01,1985,38546,Arkansas
1985-12-01,1985,39691,Arkansas
1985-01-01,1985,4219,California
1985-02-01,1985,4056,California
1985-03-01,1985,4688,California
1985-04-01,1985,4647,California
1985-05-01,1985,4795,California
1985-06-01,1985,4655,California
1985-07-01,1985,4878,California
1985-08-01,1985,4841,California
1985-09-01,1985,4823,California
1985-10-01,1985,4672,California
1985-11-01,1985,4364,California
1985-12-01,1985,4485,California
1985-01-01,1985,805,Colorado
1985-02-01,1985,662,Colorado
