,ds,y
0,1978-12-01,93.9
1,1979-01-01,94.0
2,1979-02-01,94.0
3,1979-03-01,94.1
4,1979-04-01,94.1
5,1979-05-01,94.1
6,1979-06-01,94.2
7,1979-07-01,94.2
8,1979-08-01,94.2
9,1979-09-01,94.1
10,1979-10-01,94.1
11,1979-11-01,94.1
12,1979-12-01,94.1
13,1980-01-01,94.1
14,1980-02-01,94.0
15,1980-03-01,93.9
16,1980-04-01,93.7
17,1980-05-01,93.6
18,1980-06-01,93.4
19,1980-07-01,93.2
20,1980-08-01,93.1
21,1980-09-01,93.0
22,1980-10-01,92.8
23,1980-11-01,92.7
24,1980-12-01,92.6
25,1981-01-01,92.5
26,1981-02-01,92.4
27,1981-03-01,92.4
28,1981-04-01,92.4
29,1981-05-01,92.4
30,1981-06-01,92.5
31,1981-07-01,92.5
32,1981-08-01,92.5
33,1981-09-01,92.5
34,1981-10-01,92.4
35,1981-11-01,92.3
36,1981-12-01,92.2
37,1982-01-01,92.1
38,1982-02-01,91.9
39,1982-03-01,91.8
40,1982-04-01,91.6
41,1982-05-01,91.4
42,1982-06-01,91.2
43,1982-07-01,91.1
44,1982-08-01,90.9
45,1982-09-01,90.7
46,1982-10-01,90.5
47,1982-11-01,90.3
48,1982-12-01,90.1
49,1983-01-01,90.0
50,1983-02-01,89.9
51,1983-03-01,89.8
52,1983-04-01,89.7
53,1983-05-01,89.7
54,1983-06-01,89.7
55,1983-07-01,89.7
56,1983-08-01,89.8
57,1983-09-01,90.0
58,1983-10-01,90.2
59,1983-11-01,90.4
60,1983-12-01,90.6
61,1984-01-01,90.8
62,1984-02-01,91.0
63,1984-03-01,91.3
64,1984-04-01,91.5
65,1984-05-01,91.7
66,1984-06-01,91.8
67,1984-07-01,92.0
68,1984-08-01,92.1
69,1984-09-01,92.2
70,1984-10-01,92.3
71,1984-11-01,92.4
72,1984-12-01,92.5
73,1985-01-01,92.6
74,1985-02-01,92.6
75,1985-03-01,92.7
76,1985-04-01,92.7
77,1985-05-01,92.7
78,1985-06-01,92.7
79,1985-07-01,92.7
80,1985-08-01,92.7
81,1985-09-01,92.8
82,1985-10-01,92.8
