ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1991-01-01,47817.89511479685,9973.058690358701,10067.1139160917,47817.89511479685,47817.89511479685,-37796.51982550098,-37796.51982550098,-37796.51982550098,-37796.51982550098,-37796.51982550098,-37796.51982550098,0.0,0.0,0.0,10021.375289295866
1991-04-01,47799.88455094384,9969.90806620927,10062.455276825205,47799.88455094384,47799.88455094384,-37783.41178417907,-37783.41178417907,-37783.41178417907,-37783.41178417907,-37783.41178417907,-37783.41178417907,0.0,0.0,0.0,10016.472766764768
1991-07-01,47781.67386971469,10017.543414421702,10111.802606211477,47781.67386971469,47781.67386971469,-37715.68679427685,-37715.68679427685,-37715.68679427685,-37715.68679427685,-37715.68679427685,-37715.68679427685,0.0,0.0,0.0,10065.987075437835
1991-10-01,47826.064488135286,10106.334855596457,10207.79137856908,47826.064488135286,47826.064488135286,-37668.10921261337,-37668.10921261337,-37668.10921261337,-37668.10921261337,-37668.10921261337,-37668.10921261337,0.0,0.0,0.0,10157.955275521912
1992-01-01,47870.5976041576,10183.802382667016,10279.843730614422,47870.5976041576,47870.5976041576,-37639.72516315478,-37639.72516315478,-37639.72516315478,-37639.72516315478,-37639.72516315478,-37639.72516315478,0.0,0.0,0.0,10230.872441002823
1992-04-01,47914.646664570966,10324.366831370085,10419.393594027037,47914.646664570966,47914.646664570966,-37542.08901131566,-37542.08901131566,-37542.08901131566,-37542.08901131566,-37542.08901131566,-37542.08901131566,0.0,0.0,0.0,10372.55765325531
1992-07-01,48032.99433764037,10385.241938461311,10479.88853024847,48032.99433764037,48032.99433764037,-37600.51350588625,-37600.51350588625,-37600.51350588625,-37600.51350588625,-37600.51350588625,-37600.51350588625,0.0,0.0,0.0,10432.480831754117
1992-10-01,48152.64253458964,10489.894975640496,10586.933844893416,48152.64253458964,48152.64253458964,-37616.863245313325,-37616.863245313325,-37616.863245313325,-37616.863245313325,-37616.863245313325,-37616.863245313325,0.0,0.0,0.0,10535.779289276317
1993-01-01,48272.29073147212,10525.854045752696,10617.017072517967,48272.29073147212,48272.29073147212,-37701.02186762947,-37701.02186762947,-37701.02186762947,-37701.02186762947,-37701.02186762947,-37701.02186762947,0.0,0.0,0.0,10571.268863842655
1993-04-01,48389.3378805963,10619.878492363581,10712.954437528608,48389.3378805963,48389.3378805963,-37724.65961724056,-37724.65961724056,-37724.65961724056,-37724.65961724056,-37724.65961724056,-37724.65961724056,0.0,0.0,0.0,10664.678263355738
1993-07-01,48507.68667017573,10670.57243886743,10768.527069467917,48507.68667017573,48507.68667017573,-37787.467363661,-37787.467363661,-37787.467363661,-37787.467363661,-37787.467363661,-37787.467363661,0.0,0.0,0.0,10720.21930651473
1993-10-01,48627.33599588911,10782.495532848452,10880.001857273,48627.33599588911,48627.33599588911,-37796.49323786385,-37796.49323786385,-37796.49323786385,-37796.49323786385,-37796.49323786385,-37796.49323786385,0.0,0.0,0.0,10830.842758025261
1994-01-01,48746.98532160249,10883.224576554041,10978.610871170884,48746.98532160249,48746.98532160249,-37816.73943527851,-37816.73943527851,-37816.73943527851,-37816.73943527851,-37816.73943527851,-37816.73943527851,0.0,0.0,0.0,10930.24588632398
1994-04-01,48864.03357507202,11010.079683545026,11107.112494556897,48864.03357507202,48864.03357507202,-37805.10114872594,-37805.10114872594,-37805.10114872594,-37805.10114872594,-37805.10114872594,-37805.10114872594,0.0,0.0,0.0,11058.93242634608
1994-07-01,48982.382364691206,11110.435206356142,11203.380589587243,48982.382364691206,48982.382364691206,-37825.73376267567,-37825.73376267567,-37825.73376267567,-37825.73376267567,-37825.73376267567,-37825.73376267567,0.0,0.0,0.0,11156.648602015535
1994-10-01,49034.17111133912,11175.011304527787,11267.972290615528,49034.17111133912,49034.17111133912,-37813.56133617609,-37813.56133617609,-37813.56133617609,-37813.56133617609,-37813.56133617609,-37813.56133617609,0.0,0.0,0.0,11220.60977516303
1995-01-01,49085.95985798702,11244.850476930607,11340.514292637845,49085.95985798702,49085.95985798702,-37796.519825501426,-37796.519825501426,-37796.519825501426,-37796.519825501426,-37796.519825501426,-37796.519825501426,0.0,0.0,0.0,11289.440032485596
