ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1995-01-01,4452.723276684562,11228.588916611137,11332.169675957184,4452.723276684562,4452.723276684562,6825.575784941306,6825.575784941306,6825.575784941306,6825.575784941306,6825.575784941306,6825.575784941306,0.0,0.0,0.0,11278.299061625868
1995-04-01,4539.39376195172,11259.985332554084,11370.474720535032,4539.39376195172,4539.39376195172,6778.257882594274,6778.257882594274,6778.257882594274,6778.257882594274,6778.257882594274,6778.257882594274,0.0,0.0,0.0,11317.651644545993
1995-07-01,4626.829248166644,11392.723941219174,11499.552529415409,4626.829248166644,4626.829248166644,6821.056049679454,6821.056049679454,6821.056049679454,6821.056049679454,6821.056049679454,6821.056049679454,0.0,0.0,0.0,11447.885297846098
1995-10-01,4715.225563900412,11511.626240143984,11616.875005407717,4715.225563900412,4715.225563900412,6850.554444749175,6850.554444749175,6850.554444749175,6850.554444749175,6850.554444749175,6850.554444749175,0.0,0.0,0.0,11565.780008649588
1996-01-01,4803.62187957206,11578.1085709878,11682.585422536582,4803.62187957206,4803.62187957206,6829.088365349178,6829.088365349178,6829.088365349178,6829.088365349178,6829.088365349178,6829.088365349178,0.0,0.0,0.0,11632.710244921238
1996-04-01,4891.057365725537,11757.238746662279,11865.072169160694,4891.057365725537,4891.057365725537,6922.673722405251,6922.673722405251,6922.673722405251,6922.673722405251,6922.673722405251,6922.673722405251,0.0,0.0,0.0,11813.73108813079
1996-07-01,4978.492974873065,11860.697325846508,11966.705808802115,4978.492974873065,4978.492974873065,6931.696176269087,6931.696176269087,6931.696176269087,6931.696176269087,6931.696176269087,6931.696176269087,0.0,0.0,0.0,11910.189151142153
1996-10-01,5066.8894148903455,11984.240849825057,12095.137427751513,5066.8894148903455,5066.8894148903455,6973.162571521588,6973.162571521588,6973.162571521588,6973.162571521588,6973.162571521588,6973.162571521588,0.0,0.0,0.0,12040.051986411934
1997-01-01,5215.20494842625,12119.370417275502,12223.81629570306,5215.20494842625,5215.20494842625,6956.936720044592,6956.936720044592,6956.936720044592,6956.936720044592,6956.936720044592,6956.936720044592,0.0,0.0,0.0,12172.141668470842
1997-04-01,5360.296231233111,12256.060110977636,12367.607667934837,5360.296231233111,5360.296231233111,6951.458165356139,6951.458165356139,6951.458165356139,6951.458165356139,6951.458165356139,6951.458165356139,0.0,0.0,0.0,12311.754396589251
1997-07-01,5518.035199387669,12381.143473231725,12488.735054556515,5518.035199387669,5518.035199387669,6918.019422721012,6918.019422721012,6918.019422721012,6918.019422721012,6918.019422721012,6918.019422721012,0.0,0.0,0.0,12436.05462210868
1997-10-01,5677.507562796673,12509.479575891035,12615.976285588386,5677.507562796673,5677.507562796673,6888.521970320688,6888.521970320688,6888.521970320688,6888.521970320688,6888.521970320688,6888.521970320688,0.0,0.0,0.0,12566.02953311736
1998-01-01,5836.979926205678,12653.43193792858,12760.672668033347,5836.979926205678,5836.979926205678,6868.797953239361,6868.797953239361,6868.797953239361,6868.797953239361,6868.797953239361,6868.797953239361,0.0,0.0,0.0,12705.777879445039
1998-04-01,5993.183423254194,12842.915170610002,12946.983974032068,5993.183423254194,5993.183423254194,6903.24032540744,6903.24032540744,6903.24032540744,6903.24032540744,6903.24032540744,6903.24032540744,0.0,0.0,0.0,12896.423748661633
1998-07-01,6151.122514714361,12981.324549346347,13087.105032913752,6151.122514714361,6151.122514714361,6881.207667811532,6881.207667811532,6881.207667811532,6881.207667811532,6881.207667811532,6881.207667811532,0.0,0.0,0.0,13032.330182525893
1998-10-01,6310.833277942153,13105.174686191593,13210.801801875701,6310.833277942153,6310.833277942153,6847.884444137338,6847.884444137338,6847.884444137338,6847.884444137338,6847.884444137338,6847.884444137338,0.0,0.0,0.0,13158.717722079491
1999-01-01,6470.544041169942,13245.430602645383,13353.886670768952,6470.544041169942,6470.544041169942,6825.575784943292,6825.575784943292,6825.575784943292,6825.575784943292,6825.575784943292,6825.575784943292,0.0,0.0,0.0,13296.119826113234
1999-04-01,6626.782831762078,13349.745459547015,13456.431874433632,6626.782831762078,6626.782831762078,6778.25788259515,6778.25788259515,6778.25788259515,6778.25788259515,6778.25788259515,6778.25788259515,0.0,0.0,0.0,13405.040714357227
1999-07-01,6784.7576089163485,13555.091159509131,13657.531022967063,6784.7576089163485,6784.7576089163485,6821.056049679337,6821.056049679337,6821.056049679337,6821.056049679337,6821.056049679337,6821.056049679337,0.0,0.0,0.0,13605.813658595685
1999-10-01,6944.419485601192,13741.997204159057,13850.99288151443,6944.419485601192,6944.419485601192,6850.554444742399,6850.554444742399,6850.554444742399,6850.554444742399,6850.554444742399,6850.554444742399,0.0,0.0,0.0,13794.97393034359
2000-01-01,7104.081362286036,13879.987050129324,13988.206807599796,7104.081362286036,7104.081362286036,6829.0883653524625,6829.0883653524625,6829.0883653524625,6829.0883653524625,6829.0883653524625,6829.0883653524625,0.0,0.0,0.0,13933.169727638498
2000-04-01,7143.91295829296,14015.180488007298,14117.960325894404,7143.91295829296,7143.91295829296,6922.673722403403,6922.673722403403,6922.673722403403,6922.673722403403,6922.673722403403,6922.673722403403,0.0,0.0,0.0,14066.586680696364
2000-07-01,7183.744554299884,14060.313035890164,14171.445190670056,7183.744554299884,7183.744554299884,6931.696176271677,6931.696176271677,6931.696176271677,6931.696176271677,6931.696176271677,6931.696176271677,0.0,0.0,0.0,14115.440730571561
2000-10-01,7224.013860153036,14143.931046556405,14250.271270014986,7224.013860153036,7224.013860153036,6973.1625715274795,6973.1625715274795,6973.1625715274795,6973.1625715274795,6973.1625715274795,6973.1625715274795,0.0,0.0,0.0,14197.176431680517
2001-01-01,7250.3162281328305,14153.424007934263,14259.926988485342,7250.3162281328305,7250.3162281328305,6956.936720039029,6956.936720039029,6956.936720039029,6956.936720039029,6956.936720039029,6956.936720039029,0.0,0.0,0.0,14207.25294817186
2001-04-01,7276.04680550437,14177.104637078279,14285.725640026822,7276.04680550437,7276.04680550437,6951.458165362776,6951.458165362776,6951.458165362776,6951.458165362776,6951.458165362776,6951.458165362776,0.0,0.0,0.0,14227.504970867147
2001-07-01,7302.063278118741,14168.50824239917,14271.931931175357,7302.063278118741,7302.063278118741,6918.019422723594,6918.019422723594,6918.019422723594,6918.019422723594,6918.019422723594,6918.019422723594,0.0,0.0,0.0,14220.082700842337
2001-10-01,7328.365646036566,14159.77300623555,14271.223652083967,7328.365646036566,7328.365646036566,6888.521970322631,6888.521970322631,6888.521970322631,6888.521970322631,6888.521970322631,6888.521970322631,0.0,0.0,0.0,14216.887616359198
