Date,Monthly Nominal GDP Index
1992-01-01,6315.718
1992-02-01,6356.508
1992-03-01,6417.08
1992-04-01,6443.26
1992-05-01,6433.8
1992-06-01,6535.229
1992-07-01,6557.307
1992-08-01,6556.893
1992-09-01,6585.723
1992-10-01,6637.251
1992-11-01,6680.23
1992-12-01,6724.928
1993-01-01,6718.517
1993-02-01,6741.424
1993-03-01,6728.436
1993-04-01,6767.885
1993-05-01,6824.294
1993-06-01,6834.639
1993-07-01,6832.663
1993-08-01,6874.167
1993-09-01,6939.465
1993-10-01,6944.544
1993-11-01,7035.933
1993-12-01,7060.737
1994-01-01,7074.376
1994-02-01,7122.912
1994-03-01,7149.668
1994-04-01,7186.468
1994-05-01,7290.063
1994-06-01,7264.262
1994-07-01,7299.351
1994-08-01,7351.561
1994-09-01,7342.313
1994-10-01,7429.158
1994-11-01,7431.638
1994-12-01,7505.068
1995-01-01,7542.278
1995-02-01,7488.455
1995-03-01,7536.134
1995-04-01,7539.266
1995-05-01,7560.682
1995-06-01,7643.043
1995-07-01,7630.432
1995-08-01,7674.169
1995-09-01,7744.774
1995-10-01,7747.188
1995-11-01,7747.777
1995-12-01,7822.793
1996-01-01,7839.889
1996-02-01,7853.005
1996-03-01,7912.51
1996-04-01,8025.242
1996-05-01,8009.311
1996-06-01,8063.967
1996-07-01,8099.374
1996-08-01,8123.031
1996-09-01,8171.82
1996-10-01,8250.675
1996-11-01,8281.815
1996-12-01,8246.823
1997-01-01,8308.873
1997-02-01,8385.604
1997-03-01,8393.487
1997-04-01,8511.35
1997-05-01,8476.525
1997-06-01,8568.601
1997-07-01,8620.36
1997-08-01,8655.677
1997-09-01,8712.432
1997-10-01,8748.293
1997-11-01,8736.397
1997-12-01,8813.031
1998-01-01,8772.683
1998-02-01,8894.562
1998-03-01,8932.195
1998-04-01,8925.485
1998-05-01,8953.153
1998-06-01,9030.459
1998-07-01,9049.668
1998-08-01,9100.806
1998-09-01,9212.816
1998-10-01,9266.812
1998-11-01,9307.052
1998-12-01,9308.109
1999-01-01,9357.805
1999-02-01,9410.995
1999-03-01,9466.246
1999-04-01,9496.05
1999-05-01,9536.808
1999-06-01,9545.772
1999-07-01,9659.091
1999-08-01,9660.704
1999-09-01,9740.083
1999-10-01,9819.718
1999-11-01,9890.746
1999-12-01,9990.043
2000-01-01,9924.271
2000-02-01,9995.326
2000-03-01,10086.94
2000-04-01,10224.812
2000-05-01,10232.053
2000-06-01,10286.295
2000-07-01,10234.189
2000-08-01,10336.074
2000-09-01,10384.232
2000-10-01,10435.244
2000-11-01,10445.448
2000-12-01,10426.54
2001-01-01,10467.689
2001-02-01,10462.995
2001-03-01,10480.009
2001-04-01,10565.35
2001-05-01,10639.985
2001-06-01,10591.666
2001-07-01,10585.078
2001-08-01,10699.269
2001-09-01,10509.714
2001-10-01,10639.81
2001-11-01,10587.653
2001-12-01,10753.932
2002-01-01,10786.862
2002-02-01,10748.914
2002-03-01,10814.724
2002-04-01,10858.45
2002-05-01,10870.043
2002-06-01,10933.887
2002-07-01,11001.831
2002-08-01,10952.337
2002-09-01,10997.952
2002-10-01,10999.072
2002-11-01,11053.243
2002-12-01,11131.984
2003-01-01,11135.827
2003-02-01,11210.366
2003-03-01,11176.194
2003-04-01,11256.987
2003-05-01,11275.207
2003-06-01,11406.103
2003-07-01,11468.596
2003-08-01,11567.5
2003-09-01,11663.911
2003-10-01,11699.77
2003-11-01,11786.116
2003-12-01,11830.817
2004-01-01,11805.938
2004-02-01,11926.51
2004-03-01,12037.893
2004-04-01,12036.119
2004-05-01,12175.735
2004-06-01,12126.591
2004-07-01,12279.383
2004-08-01,12300.525
2004-09-01,12336.013
2004-10-01,12471.397
2004-11-01,12514.854
2004-12-01,12595.391
2005-01-01,12747.95
2005-02-01,12751.102
2005-03-01,12802.805
2005-04-01,12859.289
2005-05-01,12881.91
2005-06-01,13026.769
2005-07-01,13096.068
2005-08-01,13153.224
2005-09-01,13178.634
2005-10-01,13235.119
2005-11-01,13300.274
2005-12-01,13437.219
2006-01-01,13517.442
2006-02-01,13569.273
2006-03-01,13710.765
2006-04-01,13694.96
2006-05-01,13782.615
2006-06-01,13782.697
2006-07-01,13791.16
2006-08-01,13885.301
2006-09-01,13934.103
2006-10-01,13967.051
2006-11-01,14059.551
2006-12-01,14092.078
2007-01-01,14134.068
2007-02-01,14286.518
2007-03-01,14226.367
2007-04-01,14362.629
2007-05-01,14401.012
2007-06-01,14442.605
2007-07-01,14422.446
2007-08-01,14601.565
2007-09-01,14668.341
2007-10-01,14663.958
2007-11-01,14715.623
2007-12-01,14765.593
2008-01-01,14801.299
2008-02-01,14627.522
2008-03-01,14690.793
2008-04-01,14757.412
2008-05-01,14802.357
2008-06-01,15037.334
2008-07-01,14972.328
2008-08-01,14917.182
2008-09-01,14807.488
2008-10-01,14694.566
2008-11-01,14700.089
2008-12-01,14429.972
2009-01-01,14481.051
2009-02-01,14442.867
2009-03-01,14368.788
2009-04-01,14360.308
2009-05-01,14377.739
2009-06-01,14405.661
2009-07-01,14376.254
2009-08-01,14480.496
2009-09-01,14489.896
2009-10-01,14693.455
2009-11-01,14665.263
2009-12-01,14595.029
