Year,Month,OtherBirths
1992,1992-01-01,5333597
1992,1992-02-01,5043005
1992,1992-03-01,5428984
1992,1992-04-01,5310492
1992,1992-05-01,5476667
1992,1992-06-01,5400846
1992,1992-07-01,5706634
1992,1992-08-01,5573112
1992,1992-09-01,5557129
1992,1992-10-01,5511865
1992,1992-11-01,5154951
1992,1992-12-01,5394464
1993,1993-01-01,5167248
1993,1993-02-01,4842559
1993,1993-03-01,5442000
1993,1993-04-01,5199645
1993,1993-05-01,5342176
1993,1993-06-01,5329839
1993,1993-07-01,5605538
1993,1993-08-01,5604753
1993,1993-09-01,5579422
1993,1993-10-01,5335777
1993,1993-11-01,5076913
1993,1993-12-01,5294731
1994,1994-01-01,5646813
1994,1994-02-01,5264330
1994,1994-03-01,5921920
1994,1994-04-01,5523844
1994,1994-05-01,5753857
1994,1994-06-01,5723045
1994,1994-07-01,5992033
1994,1994-08-01,6128101
1994,1994-09-01,5929288
1994,1994-10-01,5799682
1994,1994-11-01,5616969
1994,1994-12-01,5694937
1995,1995-01-01,5510953
1995,1995-02-01,5130218
1995,1995-03-01,5701924
1995,1995-04-01,5356133
1995,1995-05-01,5782838
1995,1995-06-01,5719421
1995,1995-07-01,5913536
1995,1995-08-01,6089856
1995,1995-09-01,5900407
1995,1995-10-01,5777027
1995,1995-11-01,5426736
1995,1995-12-01,5481626
1996,1996-01-01,5446713
1996,1996-02-01,5198489
1996,1996-03-01,5570072
1996,1996-04-01,5395863
1996,1996-05-01,5630019
1996,1996-06-01,5490727
1996,1996-07-01,5947798
1996,1996-08-01,5973853
1996,1996-09-01,5807316
1996,1996-10-01,5831705
1996,1996-11-01,5380296
1996,1996-12-01,5574744
1997,1997-01-01,5482326
1997,1997-02-01,5009874
1997,1997-03-01,5519216
1997,1997-04-01,5370890
1997,1997-05-01,5656793
1997,1997-06-01,5494518
1997,1997-07-01,5926695
1997,1997-08-01,5840209
1997,1997-09-01,5755822
1997,1997-10-01,5651629
1997,1997-11-01,5297528
1997,1997-12-01,5661199
1998,1998-01-01,5483713
1998,1998-02-01,5090661
1998,1998-03-01,5609102
1998,1998-04-01,5449627
1998,1998-05-01,5624039
1998,1998-06-01,5554834
1998,1998-07-01,5940416
1998,1998-08-01,5896809
1998,1998-09-01,5871581
1998,1998-10-01,5722755
1998,1998-11-01,5398294
1998,1998-12-01,5736012
1999,1999-01-01,5473021
1999,1999-02-01,5068755
1999,1999-03-01,5650440
1999,1999-04-01,5385541
1999,1999-05-01,5566823
1999,1999-06-01,5631639
1999,1999-07-01,5952938
1999,1999-08-01,6024833
1999,1999-09-01,5974246
1999,1999-10-01,5705345
1999,1999-11-01,5417586
1999,1999-12-01,5710440
2000,2000-01-01,5642282
2000,2000-02-01,5393582
