Year,Month,TriStateBirths
1992,1992-01-01,441760
1992,1992-02-01,420579
1992,1992-03-01,449868
1992,1992-04-01,437369
1992,1992-05-01,452885
1992,1992-06-01,449881
1992,1992-07-01,477715
1992,1992-08-01,457237
1992,1992-09-01,453741
1992,1992-10-01,451268
1992,1992-11-01,427330
1992,1992-12-01,440793
1993,1993-01-01,428853
1993,1993-02-01,403148
1993,1993-03-01,453522
1993,1993-04-01,436293
1993,1993-05-01,444050
1993,1993-06-01,439186
1993,1993-07-01,466083
1993,1993-08-01,453820
1993,1993-09-01,450079
1993,1993-10-01,430826
1993,1993-11-01,409017
1993,1993-12-01,425782
1994,1994-01-01,482179
1994,1994-02-01,458840
1994,1994-03-01,517625
1994,1994-04-01,483999
1994,1994-05-01,499627
1994,1994-06-01,496794
1994,1994-07-01,534339
1994,1994-08-01,536506
1994,1994-09-01,514210
1994,1994-10-01,496463
1994,1994-11-01,476187
1994,1994-12-01,494685
1995,1995-01-01,477975
1995,1995-02-01,450457
1995,1995-03-01,501558
1995,1995-04-01,470900
1995,1995-05-01,511726
1995,1995-06-01,515040
1995,1995-07-01,519515
1995,1995-08-01,535937
1995,1995-09-01,508955
1995,1995-10-01,500977
1995,1995-11-01,471869
1995,1995-12-01,480017
1996,1996-01-01,480364
1996,1996-02-01,470631
1996,1996-03-01,496492
1996,1996-04-01,470172
1996,1996-05-01,486950
1996,1996-06-01,489741
1996,1996-07-01,521569
1996,1996-08-01,534902
1996,1996-09-01,522543
1996,1996-10-01,516560
1996,1996-11-01,463389
1996,1996-12-01,483999
1997,1997-01-01,481694
1997,1997-02-01,445951
1997,1997-03-01,501576
1997,1997-04-01,492823
1997,1997-05-01,511161
1997,1997-06-01,503194
1997,1997-07-01,537384
1997,1997-08-01,531556
1997,1997-09-01,509332
1997,1997-10-01,510364
1997,1997-11-01,468265
1997,1997-12-01,500770
1998,1998-01-01,491322
1998,1998-02-01,466021
1998,1998-03-01,514347
1998,1998-04-01,496794
1998,1998-05-01,512182
1998,1998-06-01,512895
1998,1998-07-01,548270
1998,1998-08-01,531038
1998,1998-09-01,534841
1998,1998-10-01,509950
1998,1998-11-01,477801
