,ds,y
0,1978-12-01,6.1
1,1979-01-01,6.0
2,1979-02-01,6.0
3,1979-03-01,5.9
4,1979-04-01,5.9
5,1979-05-01,5.9
6,1979-06-01,5.8
7,1979-07-01,5.8
8,1979-08-01,5.8
9,1979-09-01,5.9
10,1979-10-01,5.9
11,1979-11-01,5.9
12,1979-12-01,5.9
13,1980-01-01,5.9
14,1980-02-01,6.0
15,1980-03-01,6.1
16,1980-04-01,6.3
17,1980-05-01,6.4
18,1980-06-01,6.6
19,1980-07-01,6.8
20,1980-08-01,6.9
21,1980-09-01,7.0
22,1980-10-01,7.2
23,1980-11-01,7.3
24,1980-12-01,7.4
25,1981-01-01,7.5
26,1981-02-01,7.6
27,1981-03-01,7.6
28,1981-04-01,7.6
29,1981-05-01,7.6
30,1981-06-01,7.5
31,1981-07-01,7.5
32,1981-08-01,7.5
33,1981-09-01,7.5
34,1981-10-01,7.6
35,1981-11-01,7.7
36,1981-12-01,7.8
37,1982-01-01,7.9
38,1982-02-01,8.1
39,1982-03-01,8.2
40,1982-04-01,8.4
41,1982-05-01,8.6
42,1982-06-01,8.8
43,1982-07-01,8.9
44,1982-08-01,9.1
45,1982-09-01,9.3
46,1982-10-01,9.5
47,1982-11-01,9.7
48,1982-12-01,9.9
49,1983-01-01,10.0
50,1983-02-01,10.1
51,1983-03-01,10.2
52,1983-04-01,10.3
53,1983-05-01,10.3
54,1983-06-01,10.3
55,1983-07-01,10.3
56,1983-08-01,10.2
57,1983-09-01,10.0
58,1983-10-01,9.8
59,1983-11-01,9.6
60,1983-12-01,9.4
61,1984-01-01,9.2
62,1984-02-01,9.0
63,1984-03-01,8.7
64,1984-04-01,8.5
65,1984-05-01,8.3
66,1984-06-01,8.2
67,1984-07-01,8.0
68,1984-08-01,7.9
69,1984-09-01,7.8
70,1984-10-01,7.7
71,1984-11-01,7.6
72,1984-12-01,7.5
73,1985-01-01,7.4
74,1985-02-01,7.4
75,1985-03-01,7.3
